Marque,Modèle,Grade,Recycleur,Prix
google,Pixel 4A 4G,B,smartgrade,20.6
google,Pixel 4A 4G,C,smartgrade,16.2
google,Pixel 4A 4G,D,smartgrade,10.9
google,Pixel 4XL,A,smartgrade,8.9
google,Pixel 4XL,A,recyclemonlcd,5.0
google,Pixel 4XL,B,smartgrade,5.2
google,Pixel 4XL,C,smartgrade,0.0
google,Pixel 4XL,D,smartgrade,0.4
google,Pixel 3XL,A,smartgrade,4.2
google,Pixel 3XL,A,recyclemonlcd,3.0
google,Pixel 3XL,B,smartgrade,2.3
google,Pixel 3XL,C,smartgrade,0.0
google,Pixel 3XL,D,smartgrade,0.0
google,Pixel 3A,A,recyclemonlcd,5.0
huawei,Mate 50,A,ispart,30.0
huawei,Mate 50E,A,ispart,30.0
huawei,Mate 50 Pro,A,ispart,66.0
huawei,Mate 40 Pro,A,ispart,45.0
huawei,Mate 40 Pro,A,smartgrade,48.4
huawei,Mate 40 Pro,A,paylcd,35.0
huawei,Mate 40 Pro,A,recyclemonlcd,39.0
huawei,Mate 40 Pro,B,smartgrade,38.6
huawei,Mate 40 Pro,C,smartgrade,26.6
huawei,Mate 40 Pro,D,smartgrade,20.0
huawei,Mate 40 Pro,G,smartgrade,2.6
huawei,Mate 40,A,ispart,32.0
huawei,Mate 40,A,smartgrade,39.5
huawei,Mate 40,A,paylcd,40.0
huawei,Mate 40,A,recyclemonlcd,35.0
huawei,Mate 40,B,smartgrade,30.6
huawei,Mate 40,C,smartgrade,20.8
huawei,Mate 40,D,smartgrade,12.6
huawei,Mate 40,G,smartgrade,2.6
huawei,Mate 30,A,ispart,43.0
huawei,Mate 30,A,smartgrade,46.3
huawei,Mate 30,A,paylcd,40.0
huawei,Mate 30,A,recyclemonlcd,60.0
huawei,Mate 30,B,smartgrade,40.4
huawei,Mate 30,C,smartgrade,30.2
huawei,Mate 30,D,smartgrade,21.5
huawei,Mate 30,G,smartgrade,0.0
huawei,Mate 30 Pro,A,ispart,72.0
huawei,Mate 30 Pro,A,smartgrade,74.4
huawei,Mate 30 Pro,A,paylcd,60.0
huawei,Mate 30 Pro,A,recyclemonlcd,35.0
huawei,Mate 30 Pro,B,smartgrade,66.8
huawei,Mate 30 Pro,C,smartgrade,52.9
huawei,Mate 30 Pro,D,smartgrade,37.2
huawei,Mate 30 Pro,G,smartgrade,0.0
huawei,Mate 20 X,A,ispart,62.0
huawei,Mate 20 X,A,smartgrade,74.2
huawei,Mate 20 X,A,paylcd,35.0
huawei,Mate 20 X,A,recyclemonlcd,60.0
huawei,Mate 20 X,B,smartgrade,66.3
huawei,Mate 20 X,C,smartgrade,50.9
huawei,Mate 20 X,D,smartgrade,39.7
huawei,Mate 20 X,G,smartgrade,0.7
huawei,Mate 20 Pro,A,ispart,14.0
huawei,Mate 20 Pro,A,smartgrade,18.2
huawei,Mate 20 Pro,A,lcdphone,10.0
huawei,Mate 20 Pro,A,paylcd,20.0
huawei,Mate 20 Pro,A,recyclemonlcd,4.0
huawei,Mate 20 Pro,B,smartgrade,14.8
huawei,Mate 20 Pro,B,lcdphone,5.0
huawei,Mate 20 Pro,C,smartgrade,9.7
huawei,Mate 20 Pro,D,smartgrade,5.8
huawei,Mate 20 Pro,G,smartgrade,0.7
huawei,Mate 20 Pro,G,lcdphone,1.0
huawei,Mate 10 Pro,A,ispart,10.0
huawei,Mate 10 Pro,A,smartgrade,13.7
huawei,Mate 10 Pro,A,paylcd,15.0
huawei,Mate 10 Pro,A,recyclemonlcd,10.0
huawei,Mate 10 Pro,B,smartgrade,10.2
huawei,Mate 10 Pro,C,smartgrade,6.9
huawei,Mate 10 Pro,D,smartgrade,4.4
huawei,Mate 10 Pro,G,smartgrade,0.7
huawei,Mate 9 Pro,A,ispart,0.0
huawei,Mate 9 Pro,A,smartgrade,2.9
huawei,Mate 9 Pro,A,paylcd,10.0
huawei,Mate 9 Pro,A,recyclemonlcd,2.0
huawei,Mate 9 Pro,B,smartgrade,1.2
huawei,Mate 9 Pro,C,smartgrade,0.7
huawei,Mate 9 Pro,D,smartgrade,0.3
huawei,Mate 9 Pro,G,smartgrade,0.7
huawei,Mate RS,A,ispart,17.0
huawei,Mate RS,A,smartgrade,17.3
huawei,Mate RS,A,recyclemonlcd,24.0
huawei,Mate RS,B,smartgrade,11.1
huawei,Mate RS,C,smartgrade,6.1
huawei,Mate RS,D,smartgrade,3.6
huawei,Mate RS,G,smartgrade,0.7
huawei,P50,A,ispart,34.0
huawei,P50,A,smartgrade,37.7
huawei,P50,A,recyclemonlcd,30.0
huawei,P50,B,smartgrade,32.4
huawei,P50,C,smartgrade,21.7
huawei,P50,D,smartgrade,15.9
huawei,P50,G,smartgrade,0.7
huawei,P40 Pro Plus,A,ispart,55.0
huawei,P40 Pro Plus,A,smartgrade,66.2
huawei,P40 Pro Plus,A,recyclemonlcd,50.0
huawei,P40 Pro Plus,B,smartgrade,57.3
huawei,P40 Pro Plus,C,smartgrade,36.4
huawei,P40 Pro Plus,D,smartgrade,28.2
huawei,P40 Pro Plus,G,smartgrade,0.7
huawei,P40 Pro,A,ispart,54.0
huawei,P40 Pro,A,smartgrade,66.2
huawei,P40 Pro,A,lcdphone,40.0
huawei,P40 Pro,A,paylcd,30.0
huawei,P40 Pro,A,recyclemonlcd,50.0
huawei,P40 Pro,B,smartgrade,57.3
huawei,P40 Pro,B,lcdphone,15.0
huawei,P40 Pro,C,smartgrade,36.4
huawei,P40 Pro,D,smartgrade,28.2
huawei,P40 Pro,G,smartgrade,0.7
huawei,P40 Pro,G,lcdphone,1.0
huawei,P40,A,ispart,20.0
huawei,P40,A,smartgrade,23.3
huawei,P40,A,paylcd,25.0
huawei,P40,A,recyclemonlcd,20.0
huawei,P40,B,smartgrade,16.5
huawei,P40,C,smartgrade,11.3
huawei,P40,D,smartgrade,7.4
huawei,P40,G,smartgrade,0.7
huawei,P30 Pro,A,ispart,12.0
huawei,P30 Pro,A,smartgrade,15.5
huawei,P30 Pro,A,lcdphone,10.0
huawei,P30 Pro,A,paylcd,10.0
huawei,P30 Pro,A,recyclemonlcd,20.0
huawei,P30 Pro,B,smartgrade,12.8
huawei,P30 Pro,B,lcdphone,5.0
huawei,P30 Pro,C,smartgrade,8.5
huawei,P30 Pro,D,smartgrade,5.2
huawei,P30 Pro,G,smartgrade,0.7
huawei,P30 Pro,G,lcdphone,1.0
huawei,P30,A,ispart,10.0
huawei,P30,A,smartgrade,13.7
huawei,P30,A,paylcd,10.0
huawei,P30,A,recyclemonlcd,20.0
huawei,P30,B,smartgrade,10.2
huawei,P30,C,smartgrade,7.7
huawei,P30,D,smartgrade,5.2
huawei,P30,G,smartgrade,0.7
huawei,P20 Pro,A,ispart,16.0
huawei,P20 Pro,A,smartgrade,19.9
huawei,P20 Pro,A,lcdphone,8.0
huawei,P20 Pro,A,paylcd,10.0
huawei,P20 Pro,A,recyclemonlcd,15.0
huawei,P20 Pro,B,smartgrade,17.4
huawei,P20 Pro,B,lcdphone,4.0
huawei,P20 Pro,C,smartgrade,11.7
huawei,P20 Pro,D,smartgrade,8.9
huawei,P20 Pro,G,smartgrade,0.7
huawei,P20 Pro,G,lcdphone,1.0
huawei,P9 Plus,A,ispart,0.0
huawei,P9 Plus,A,smartgrade,3.8
huawei,P9 Plus,A,recyclemonlcd,3.0
huawei,P9 Plus,B,smartgrade,1.6
huawei,P9 Plus,C,smartgrade,0.7
huawei,P9 Plus,D,smartgrade,0.3
huawei,P9 Plus,G,smartgrade,0.7
huawei,Honor Magic 2,A,ispart,8.0
huawei,Honor Magic 2,A,smartgrade,12.3
huawei,Honor Magic 2,A,recyclemonlcd,10.0
huawei,Honor Magic 2,B,smartgrade,8.0
huawei,Honor Magic 2,C,smartgrade,5.0
huawei,Honor Magic 2,D,smartgrade,3.4
huawei,Honor Magic 2,G,smartgrade,0.7
huawei,Honor Note 10,A,ispart,24.0
huawei,Honor Note 10,A,smartgrade,27.6
huawei,Honor Note 10,A,paylcd,25.0
huawei,Honor Note 10,A,recyclemonlcd,20.0
huawei,Honor Note 10,B,smartgrade,22.1
huawei,Honor Note 10,C,smartgrade,15.6
huawei,Honor Note 10,D,smartgrade,9.7
huawei,Honor Note 10,G,smartgrade,0.7
huawei,Honor Note 8,A,ispart,7.0
huawei,Honor Note 8,A,smartgrade,11.1
huawei,Honor Note 8,A,paylcd,8.0
huawei,Honor Note 8,A,recyclemonlcd,9.0
huawei,Honor Note 8,B,smartgrade,8.0
huawei,Honor Note 8,C,smartgrade,5.0
huawei,Honor Note 8,D,smartgrade,2.6
huawei,Honor Note 8,G,smartgrade,0.7
huawei,Huawei Honor 20,A,ispart,0.0
huawei,Huawei Honor 20 Lite,A,paylcd,8.0
huawei,Nova 8 Pro,A,ispart,9.0
huawei,Nova 8 Pro,A,smartgrade,12.8
huawei,Nova 8 Pro,A,recyclemonlcd,10.0
huawei,Nova 8 Pro,B,smartgrade,9.3
huawei,Nova 8 Pro,C,smartgrade,6.1
huawei,Nova 8 Pro,D,smartgrade,3.6
huawei,Nova 8 Pro,G,smartgrade,0.7
huawei,Nova 8,A,ispart,13.0
huawei,Nova 8,A,smartgrade,16.5
huawei,Nova 8,A,recyclemonlcd,10.0
huawei,Nova 8,B,smartgrade,12.3
huawei,Nova 8,C,smartgrade,8.1
huawei,Nova 8,D,smartgrade,5.0
huawei,Nova 8,G,smartgrade,0.7
huawei,Nova 5 Pro,A,ispart,13.0
huawei,Nova 5 Pro,A,smartgrade,16.5
huawei,Nova 5 Pro,A,recyclemonlcd,10.0
huawei,Nova 5 Pro,B,smartgrade,11.4
huawei,Nova 5 Pro,C,smartgrade,7.4
huawei,Nova 5 Pro,D,smartgrade,4.2
huawei,Nova 5 Pro,G,smartgrade,0.7
huawei,Nova 5,A,ispart,13.0
huawei,Nova 5,A,smartgrade,16.5
huawei,Nova 5,A,recyclemonlcd,10.0
huawei,Nova 5,B,smartgrade,11.4
huawei,Nova 5,C,smartgrade,7.4
huawei,Nova 5,D,smartgrade,4.2
huawei,Nova 5,G,smartgrade,0.7
huawei,Nova 7,A,ispart,17.0
huawei,Nova 7,A,smartgrade,20.8
huawei,Nova 7,A,recyclemonlcd,15.0
huawei,Nova 7,B,smartgrade,14.8
huawei,Nova 7,C,smartgrade,9.7
huawei,Nova 7,D,smartgrade,5.8
huawei,Nova 7,G,smartgrade,0.7
xiaomi,Mi 13,A,smartgrade,32.5
xiaomi,Mi 13,A,recyclemonlcd,25.0
xiaomi,Mi 13,B,smartgrade,27.8
xiaomi,Mi 13,C,smartgrade,18.4
xiaomi,Mi 13,D,smartgrade,13.7
xiaomi,Mi 13,G,smartgrade,0.8
xiaomi,Mi 12,A,smartgrade,10.8
xiaomi,Mi 12,B,smartgrade,8.0
xiaomi,Mi 12,C,smartgrade,5.2
xiaomi,Mi 12,D,smartgrade,2.3
xiaomi,Mi 12,G,smartgrade,0.8
xiaomi,Mi 12 Pro,A,smartgrade,10.8
xiaomi,Mi 12 Pro,A,recyclemonlcd,30.0
xiaomi,Mi 12 Pro,B,smartgrade,8.0
xiaomi,Mi 12 Pro,C,smartgrade,5.2
xiaomi,Mi 12 Pro,D,smartgrade,2.3
xiaomi,Mi 12 Pro,G,smartgrade,0.8
xiaomi,Mi 11 Pro,A,smartgrade,64.6
xiaomi,Mi 11 Pro,A,recyclemonlcd,50.0
xiaomi,Mi 11 Pro,B,smartgrade,59.9
xiaomi,Mi 11 Pro,C,smartgrade,46.7
xiaomi,Mi 11 Pro,D,smartgrade,36.3
xiaomi,Mi 11 Pro,G,smartgrade,0.8
xiaomi,Mi 11,A,smartgrade,56.1
xiaomi,Mi 11,A,recyclemonlcd,45.0
xiaomi,Mi 11,B,smartgrade,51.4
xiaomi,Mi 11,C,smartgrade,43.9
xiaomi,Mi 11,D,smartgrade,32.5
xiaomi,Mi 11,G,smartgrade,0.8
xiaomi,K50,A,smartgrade,31.6
xiaomi,K50,A,recyclemonlcd,25.0
xiaomi,K50,B,smartgrade,27.8
xiaomi,K50,C,smartgrade,23.1
xiaomi,K50,D,smartgrade,17.4
xiaomi,K50,G,smartgrade,0.8
xiaomi,K40,A,smartgrade,22.1
xiaomi,K40,A,recyclemonlcd,15.0
xiaomi,K40,B,smartgrade,18.4
xiaomi,K40,C,smartgrade,13.7
xiaomi,K40,D,smartgrade,8.9
xiaomi,K40,G,smartgrade,0.8
xiaomi,K20,A,smartgrade,18.4
xiaomi,K20,A,recyclemonlcd,15.0
xiaomi,K20,B,smartgrade,13.7
xiaomi,K20,C,smartgrade,8.9
xiaomi,K20,D,smartgrade,4.2
xiaomi,K20,G,smartgrade,0.8
xiaomi,Redmi Note 12 Pro,A,smartgrade,46.7
xiaomi,Redmi Note 12 Pro,A,recyclemonlcd,35.0
xiaomi,Redmi Note 12 Pro,B,smartgrade,42.0
xiaomi,Redmi Note 12 Pro,C,smartgrade,35.4
xiaomi,Redmi Note 12 Pro,D,smartgrade,27.8
xiaomi,Redmi Note 12 Pro,G,smartgrade,0.8
xiaomi,Redmi Note 12,A,smartgrade,25.0
xiaomi,Redmi Note 12,A,recyclemonlcd,20.0
xiaomi,Redmi Note 12,B,smartgrade,21.2
xiaomi,Redmi Note 12,C,smartgrade,16.5
xiaomi,Redmi Note 12,D,smartgrade,10.8
xiaomi,Redmi Note 12,G,smartgrade,0.8
xiaomi,Redmi Note 11 Pro,A,smartgrade,29.7
xiaomi,Redmi Note 11 Pro,A,recyclemonlcd,20.0
xiaomi,Redmi Note 11 Pro,B,smartgrade,25.9
xiaomi,Redmi Note 11 Pro,C,smartgrade,20.3
xiaomi,Redmi Note 11 Pro,D,smartgrade,14.6
xiaomi,Redmi Note 11 Pro,G,smartgrade,0.8
xiaomi,Redmi Note 11,A,smartgrade,23.1
xiaomi,Redmi Note 11,A,recyclemonlcd,15.0
xiaomi,Redmi Note 11,B,smartgrade,18.4
xiaomi,Redmi Note 11,C,smartgrade,13.7
xiaomi,Redmi Note 11,D,smartgrade,8.9
xiaomi,Redmi Note 11,G,smartgrade,0.8
xiaomi,Redmi Note 10 Pro,A,smartgrade,27.8
xiaomi,Redmi Note 10 Pro,A,recyclemonlcd,20.0
xiaomi,Redmi Note 10 Pro,B,smartgrade,23.1
xiaomi,Redmi Note 10 Pro,C,smartgrade,17.4
xiaomi,Redmi Note 10 Pro,D,smartgrade,11.8
xiaomi,Redmi Note 10 Pro,G,smartgrade,0.8
samsung,S23 Ultra 5G (G918),A,ispart,91.0
samsung,S23 Ultra 5G (G918),A,smartgrade,87.6
samsung,S23 Ultra 5G (G918),A,lcdphone,80.0
samsung,S23 Ultra 5G (G918),A,paylcd,80.0
samsung,S23 Ultra 5G (G918),A,recyclemonlcd,85.0
samsung,S23 Ultra 5G (G918),B,smartgrade,85.9
samsung,S23 Ultra 5G (G918),B,lcdphone,30.0
samsung,S23 Ultra 5G (G918),C,smartgrade,55.7
samsung,S23 Ultra 5G (G918),D,smartgrade,44.5
samsung,S23 Ultra 5G (G918),E,smartgrade,14.8
samsung,S23 Ultra 5G (G918),F,smartgrade,7.1
samsung,S23 Ultra 5G (G918),G,smartgrade,4.2
samsung,S23 Ultra 5G (G918),G,lcdphone,1.0
samsung,S23 Ultra 5G (G918),Fully Broken,smartgrade,0.8
samsung,S23 Plus 5G (G916),A,ispart,41.0
samsung,S23 Plus 5G (G916),A,smartgrade,49.2
samsung,S23 Plus 5G (G916),A,lcdphone,60.0
samsung,S23 Plus 5G (G916),A,paylcd,35.0
samsung,S23 Plus 5G (G916),A,recyclemonlcd,40.0
samsung,S23 Plus 5G (G916),B,smartgrade,45.2
samsung,S23 Plus 5G (G916),B,lcdphone,20.0
samsung,S23 Plus 5G (G916),C,smartgrade,27.6
samsung,S23 Plus 5G (G916),D,smartgrade,18.0
samsung,S23 Plus 5G (G916),E,smartgrade,0.0
samsung,S23 Plus 5G (G916),F,smartgrade,0.0
samsung,S23 Plus 5G (G916),G,smartgrade,4.2
samsung,S23 Plus 5G (G916),G,lcdphone,1.0
samsung,S23 Plus 5G (G916),Fully Broken,smartgrade,0.8
samsung,S23 5G (G911),A,ispart,41.0
samsung,S23 5G (G911),A,smartgrade,49.2
samsung,S23 5G (G911),A,lcdphone,40.0
samsung,S23 5G (G911),A,paylcd,35.0
samsung,S23 5G (G911),A,recyclemonlcd,40.0
samsung,S23 5G (G911),B,smartgrade,45.2
samsung,S23 5G (G911),B,lcdphone,15.0
samsung,S23 5G (G911),C,smartgrade,27.6
samsung,S23 5G (G911),D,smartgrade,18.0
samsung,S23 5G (G911),E,smartgrade,0.0
samsung,S23 5G (G911),F,smartgrade,0.0
samsung,S23 5G (G911),G,smartgrade,4.2
samsung,S23 5G (G911),G,lcdphone,1.0
samsung,S23 5G (G911),Fully Broken,smartgrade,0.8
samsung,S22 Ultra 5G (G908),A,ispart,91.0
samsung,S22 Ultra 5G (G908),A,smartgrade,100.7
samsung,S22 Ultra 5G (G908),A,lcdphone,80.0
samsung,S22 Ultra 5G (G908),A,paylcd,80.0
samsung,S22 Ultra 5G (G908),A,recyclemonlcd,85.0
samsung,S22 Ultra 5G (G908),B,smartgrade,101.7
samsung,S22 Ultra 5G (G908),B,lcdphone,30.0
samsung,S22 Ultra 5G (G908),C,smartgrade,66.1
samsung,S22 Ultra 5G (G908),D,smartgrade,42.9
samsung,S22 Ultra 5G (G908),E,smartgrade,14.8
samsung,S22 Ultra 5G (G908),F,smartgrade,7.1
samsung,S22 Ultra 5G (G908),G,smartgrade,4.2
samsung,S22 Ultra 5G (G908),G,lcdphone,1.0
samsung,S22 Ultra 5G (G908),Fully Broken,smartgrade,0.8
samsung,S22 Plus 5G (G906),A,ispart,41.0
samsung,S22 Plus 5G (G906),A,smartgrade,50.1
samsung,S22 Plus 5G (G906),A,lcdphone,60.0
samsung,S22 Plus 5G (G906),A,paylcd,35.0
samsung,S22 Plus 5G (G906),A,recyclemonlcd,40.0
samsung,S22 Plus 5G (G906),B,smartgrade,45.7
samsung,S22 Plus 5G (G906),B,lcdphone,20.0
samsung,S22 Plus 5G (G906),C,smartgrade,27.6
samsung,S22 Plus 5G (G906),D,smartgrade,15.6
samsung,S22 Plus 5G (G906),E,smartgrade,0.0
samsung,S22 Plus 5G (G906),F,smartgrade,0.0
samsung,S22 Plus 5G (G906),G,smartgrade,4.2
samsung,S22 Plus 5G (G906),G,lcdphone,1.0
samsung,S22 Plus 5G (G906),Fully Broken,smartgrade,0.1
samsung,S22 5G (G901),A,ispart,41.0
samsung,S22 5G (G901),A,smartgrade,50.1
samsung,S22 5G (G901),A,lcdphone,40.0
samsung,S22 5G (G901),A,paylcd,35.0
samsung,S22 5G (G901),A,recyclemonlcd,55.0
samsung,S22 5G (G901),B,smartgrade,45.7
samsung,S22 5G (G901),B,lcdphone,15.0
samsung,S22 5G (G901),C,smartgrade,27.6
samsung,S22 5G (G901),D,smartgrade,15.6
samsung,S22 5G (G901),E,smartgrade,0.0
samsung,S22 5G (G901),F,smartgrade,0.0
samsung,S22 5G (G901),G,smartgrade,4.2
samsung,S22 5G (G901),G,lcdphone,1.0
samsung,S22 5G (G901),Fully Broken,smartgrade,0.1
samsung,S21 Ultra 5G (G998),A,ispart,73.0
samsung,S21 Ultra 5G (G998),A,smartgrade,79.9
samsung,S21 Ultra 5G (G998),A,lcdphone,80.0
samsung,S21 Ultra 5G (G998),A,paylcd,70.0
samsung,S21 Ultra 5G (G998),A,recyclemonlcd,75.0
samsung,S21 Ultra 5G (G998),B,smartgrade,79.9
samsung,S21 Ultra 5G (G998),B,lcdphone,30.0
samsung,S21 Ultra 5G (G998),C,smartgrade,51.7
samsung,S21 Ultra 5G (G998),D,smartgrade,31.6
samsung,S21 Ultra 5G (G998),E,smartgrade,14.8
samsung,S21 Ultra 5G (G998),F,smartgrade,7.1
samsung,S21 Ultra 5G (G998),G,smartgrade,4.2
samsung,S21 Ultra 5G (G998),G,lcdphone,1.0
samsung,S21 Ultra 5G (G998),Fully Broken,smartgrade,0.1
samsung,S21 Plus 5G (G996),A,ispart,39.0
samsung,S21 Plus 5G (G996),A,smartgrade,48.6
samsung,S21 Plus 5G (G996),A,lcdphone,60.0
samsung,S21 Plus 5G (G996),A,paylcd,30.0
samsung,S21 Plus 5G (G996),A,recyclemonlcd,45.0
samsung,S21 Plus 5G (G996),B,smartgrade,44.2
samsung,S21 Plus 5G (G996),B,lcdphone,20.0
samsung,S21 Plus 5G (G996),C,smartgrade,23.6
samsung,S21 Plus 5G (G996),D,smartgrade,14.8
samsung,S21 Plus 5G (G996),E,smartgrade,0.0
samsung,S21 Plus 5G (G996),F,smartgrade,0.0
samsung,S21 Plus 5G (G996),G,smartgrade,4.2
samsung,S21 Plus 5G (G996),G,lcdphone,1.0
samsung,S21 Plus 5G (G996),Fully Broken,smartgrade,0.1
samsung,S21 FE 5G (G78),A,ispart,28.0
samsung,S21 FE 5G (G78),A,smartgrade,40.1
samsung,S21 FE 5G (G78),A,lcdphone,15.0
samsung,S21 FE 5G (G78),A,paylcd,15.0
samsung,S21 FE 5G (G78),A,recyclemonlcd,40.0
samsung,S21 FE 5G (G78),B,smartgrade,38.2
samsung,S21 FE 5G (G78),B,lcdphone,5.0
samsung,S21 FE 5G (G78),C,smartgrade,21.2
samsung,S21 FE 5G (G78),D,smartgrade,13.2
samsung,S21 FE 5G (G78),E,smartgrade,0.0
samsung,S21 FE 5G (G78),F,smartgrade,0.0
