Scraper,Modèle,Grade,Prix
Smartgrade, S6 Edge (G925), Grade G,2.5
Smartgrade, S6 Edge (G925), Fully Broken,0
Smartgrade, S6 (G920), Grade A,3.4
Smartgrade, S6 (G920), Grade B,1.6
Smartgrade, S6 (G920), Grade C,0.8
Smartgrade, S6 (G920), Grade D,0.4
Smartgrade, S6 (G920), Grade E,0
Smartgrade, S6 (G920), Grade F,0
Smartgrade, S6 (G920), Grade G,0.1
Smartgrade, S6 (G920), Fully Broken,0
Smartgrade, S5 (G900), Grade A,2.9
Smartgrade, S5 (G900), Grade B,1.1
Smartgrade, S5 (G900), Grade C,0.4
Smartgrade, S5 (G900), Grade D,0
Smartgrade, S5 (G900), Grade E,0
Smartgrade, S5 (G900), Grade F,0
Smartgrade, S5 (G900), Grade G,0.1
Smartgrade, S5 (G900), Fully Broken,0
Smartgrade, Note 20 Ultra 5G, Grade A,100.7
Smartgrade, Note 20 Ultra 5G, Grade B,100.8
Smartgrade, Note 20 Ultra 5G, Grade C,69.4
Smartgrade, Note 20 Ultra 5G, Grade D,51.7
Smartgrade, Note 20 Ultra 5G, Grade E,14.8
Smartgrade, Note 20 Ultra 5G, Grade F,7.1
Smartgrade, Note 20 Ultra 5G, Grade G,4.2
Smartgrade, Note 20 Ultra 5G, Fully Broken,0.8
Smartgrade, Note 20 5G, Grade A,42.0
Smartgrade, Note 20 5G, Grade B,41.2
Smartgrade, Note 20 5G, Grade C,25.2
Smartgrade, Note 20 5G, Grade D,17.2
Smartgrade, Note 20 5G, Grade E,0
Smartgrade, Note 20 5G, Grade F,0
Smartgrade, Note 20 5G, Grade G,4.2
Smartgrade, Note 20 5G, Fully Broken,0
Smartgrade, Note 10+, Grade A,85.3
Smartgrade, Note 10+, Grade B,83.9
Smartgrade, Note 10+, Grade C,55.7
Smartgrade, Note 10+, Grade D,39.6
Smartgrade, Note 10+, Grade E,14.8
Smartgrade, Note 10+, Grade F,7.1
Smartgrade, Note 10+, Grade G,4.2
Smartgrade, Note 10+, Fully Broken,0
Smartgrade, Note 10, Grade A,57.3
Smartgrade, Note 10, Grade B,55.1
Smartgrade, Note 10, Grade C,34.8
Smartgrade, Note 10, Grade D,25.2
Smartgrade, Note 10, Grade E,14.8
Smartgrade, Note 10, Grade F,7.1
Smartgrade, Note 10, Grade G,4.2
Smartgrade, Note 10, Fully Broken,0
Smartgrade, Note 10 Lite, Grade A,33.8
Smartgrade, Note 10 Lite, Grade B,29.3
Smartgrade, Note 10 Lite, Grade C,17.2
Smartgrade, Note 10 Lite, Grade D,13.2
Smartgrade, Note 10 Lite, Grade E,0
Smartgrade, Note 10 Lite, Grade F,0
Smartgrade, Note 10 Lite, Grade G,2.5
Smartgrade, Note 10 Lite, Fully Broken,0
Smartgrade, Note 9, Grade A,45.6
Smartgrade, Note 9, Grade B,41.2
Smartgrade, Note 9, Grade C,26.0
Smartgrade, Note 9, Grade D,19.6
Smartgrade, Note 9, Grade E,11.2
Smartgrade, Note 9, Grade F,7.3
Smartgrade, Note 9, Grade G,4.2
Smartgrade, Note 9, Fully Broken,0
Smartgrade, Note 8, Grade A,37.4
Smartgrade, Note 8, Grade B,33.3
Smartgrade, Note 8, Grade C,20.4
Smartgrade, Note 8, Grade D,15.6
Smartgrade, Note 8, Grade E,9.7
Smartgrade, Note 8, Grade F,5.7
Smartgrade, Note 8, Grade G,9.0
Smartgrade, Note 8, Fully Broken,0
Smartgrade, Note 5, Grade A,13.0
Smartgrade, Note 5, Grade B,10.0
Smartgrade, Note 5, Grade C,5.7
Smartgrade, Note 5, Grade D,2.8
Smartgrade, Note 5, Grade E,0
Smartgrade, Note 5, Grade F,0
Smartgrade, Note 5, Grade G,2.5
Smartgrade, Note 5, Fully Broken,0
Smartgrade, Note 4, Grade A,3.0
Smartgrade, Note 4, Grade B,1.4
Smartgrade, Note 4, Grade C,0.3
Smartgrade, Note 4, Grade D,0
Smartgrade, Note 4, Grade E,0
Smartgrade, Note 4, Grade F,0
Smartgrade, Note 4, Grade G,2.5
Smartgrade, Note 4, Fully Broken,0
Smartgrade, A9 2018 (A920), Grade A,20.3
Smartgrade, A9 2018 (A920), Grade B,17.6
Smartgrade, A9 2018 (A920), Grade C,8.7
Smartgrade, A9 2018 (A920), Grade D,4.9
Smartgrade, A9 2018 (A920), Grade E,0
Smartgrade, A9 2018 (A920), Grade F,0
Smartgrade, A9 2018 (A920), Grade G,2.5
Smartgrade, A9 2018 (A920), Fully Broken,0
Smartgrade, A90 5G (A908), Grade A,27.8
Smartgrade, A90 5G (A908), Grade B,24.5
Smartgrade, A90 5G (A908), Grade C,14.8
Smartgrade, A90 5G (A908), Grade D,9.3
Smartgrade, A90 5G (A908), Grade E,0
Smartgrade, A90 5G (A908), Grade F,0
Smartgrade, A90 5G (A908), Grade G,2.5
Smartgrade, A90 5G (A908), Fully Broken,0
Smartgrade, A9 2016 (A900), Grade A,25.3
Smartgrade, A9 2016 (A900), Grade B,23.8
Smartgrade, A9 2016 (A900), Grade C,15.1
Smartgrade, A9 2016 (A900), Grade D,8.0
Smartgrade, A9 2016 (A900), Grade E,0
Smartgrade, A9 2016 (A900), Grade F,0
Smartgrade, A9 2016 (A900), Grade G,2.5
Smartgrade, A9 2016 (A900), Fully Broken,0
Smartgrade, A80 (A805), Grade A,21.2
Smartgrade, A80 (A805), Grade B,19.4
Smartgrade, A80 (A805), Grade C,11.0
Smartgrade, A80 (A805), Grade D,8.0
Smartgrade, A80 (A805), Grade E,0
Smartgrade, A80 (A805), Grade F,0
Smartgrade, A80 (A805), Grade G,2.5
Smartgrade, A80 (A805), Fully Broken,0
Smartgrade, A8 (A800), Grade A,13.6
Smartgrade, A8 (A800), Grade B,10.8
Smartgrade, A8 (A800), Grade C,6.2
Smartgrade, A8 (A800), Grade D,3.7
Smartgrade, A8 (A800), Grade E,0
Smartgrade, A8 (A800), Grade F,0
Smartgrade, A8 (A800), Grade G,2.5
Smartgrade, A8 (A800), Fully Broken,0
Smartgrade, A7 2018 (A750), Grade A,14.9
Smartgrade, A7 2018 (A750), Grade B,10.9
Smartgrade, A7 2018 (A750), Grade C,5.4
Smartgrade, A7 2018 (A750), Grade D,2.8
Smartgrade, A7 2018 (A750), Grade E,0
Smartgrade, A7 2018 (A750), Grade F,0
Smartgrade, A7 2018 (A750), Grade G,2.5
Smartgrade, A7 2018 (A750), Fully Broken,0
Smartgrade, A8+ 2018 (A730), Grade A,14.9
Smartgrade, A8+ 2018 (A730), Grade B,11.9
Smartgrade, A8+ 2018 (A730), Grade C,6.4
Smartgrade, A8+ 2018 (A730), Grade D,3.0
Smartgrade, A8+ 2018 (A730), Grade E,0
Smartgrade, A8+ 2018 (A730), Grade F,0
Smartgrade, A8+ 2018 (A730), Grade G,2.5
Smartgrade, A8+ 2018 (A730), Fully Broken,0
Smartgrade, A7 2017 (A720), Grade A,14.9
Smartgrade, A7 2017 (A720), Grade B,11.9
Smartgrade, A7 2017 (A720), Grade C,6.4
Smartgrade, A7 2017 (A720), Grade D,3.0
Smartgrade, A7 2017 (A720), Grade E,0
Smartgrade, A7 2017 (A720), Grade F,0
Smartgrade, A7 2017 (A720), Grade G,2.5
Smartgrade, A7 2017 (A720), Fully Broken,0
Smartgrade, A7 2016 (A710), Grade A,13.1
Smartgrade, A7 2016 (A710), Grade B,11.4
Smartgrade, A7 2016 (A710), Grade C,5.8
Smartgrade, A7 2016 (A710), Grade D,2.4
Smartgrade, A7 2016 (A710), Grade E,0
Smartgrade, A7 2016 (A710), Grade F,0
Smartgrade, A7 2016 (A710), Grade G,2.5
Smartgrade, A7 2016 (A710), Fully Broken,0
Smartgrade, A7 2015 (A700), Grade A,2.9
Smartgrade, A7 2015 (A700), Grade B,1.6
Smartgrade, A7 2015 (A700), Grade C,0.4
Smartgrade, A7 2015 (A700), Grade D,0
Smartgrade, A7 2015 (A700), Grade E,0
Smartgrade, A7 2015 (A700), Grade F,0
Smartgrade, A7 2015 (A700), Grade G,0.7
Smartgrade, A7 2015 (A700), Fully Broken,0
Smartgrade, A72 (A725), Grade A,23.7
Smartgrade, A72 (A725), Grade B,20.4
Smartgrade, A72 (A725), Grade C,13.3
Smartgrade, A72 (A725), Grade D,9.5
Smartgrade, A72 (A725), Grade E,0
Smartgrade, A72 (A725), Grade F,0
Smartgrade, A72 (A725), Grade G,2.5
Smartgrade, A72 (A725), Fully Broken,0
Smartgrade, A71 5G (A716), Grade A,20.3
Smartgrade, A71 5G (A716), Grade B,17.4
Smartgrade, A71 5G (A716), Grade C,9.9
Smartgrade, A71 5G (A716), Grade D,6.7
Smartgrade, A71 5G (A716), Grade E,0
Smartgrade, A71 5G (A716), Grade F,0
Smartgrade, A71 5G (A716), Grade G,2.5
Smartgrade, A71 5G (A716), Fully Broken,0
Smartgrade, A71 (A715), Grade A,20.3
Smartgrade, A71 (A715), Grade B,17.4
Smartgrade, A71 (A715), Grade C,9.1
Smartgrade, A71 (A715), Grade D,5.9
Smartgrade, A71 (A715), Grade E,0
Smartgrade, A71 (A715), Grade F,0
Smartgrade, A71 (A715), Grade G,2.5
Smartgrade, A71 (A715), Fully Broken,0
Smartgrade, A70 (A705), Grade A,20.3
Smartgrade, A70 (A705), Grade B,18.4
Smartgrade, A70 (A705), Grade C,9.1
Smartgrade, A70 (A705), Grade D,5.9
Smartgrade, A70 (A705), Grade E,0
Smartgrade, A70 (A705), Grade F,0
Smartgrade, A70 (A705), Grade G,2.5
Smartgrade, A70 (A705), Fully Broken,0
Smartgrade, A6+ 2018 (A605), Grade A,13.3
Smartgrade, A6+ 2018 (A605), Grade B,10.9
Smartgrade, A6+ 2018 (A605), Grade C,5.7
Smartgrade, A6+ 2018 (A605), Grade D,3.3
Smartgrade, A6+ 2018 (A605), Grade E,0
Smartgrade, A6+ 2018 (A605), Grade F,0
Smartgrade, A6+ 2018 (A605), Grade G,2.5
Smartgrade, A6+ 2018 (A605), Fully Broken,0
Smartgrade, A6 (A600), Grade A,12.9
Smartgrade, A6 (A600), Grade B,10.3
Smartgrade, A6 (A600), Grade C,5.8
Smartgrade, A6 (A600), Grade D,2.6
Smartgrade, A6 (A600), Grade E,0
Smartgrade, A6 (A600), Grade F,0
Smartgrade, A6 (A600), Grade G,2.5
Smartgrade, A6 (A600), Fully Broken,0
Smartgrade, A8 2018 (A530), Grade A,11.4
Smartgrade, A8 2018 (A530), Grade B,8.1
Smartgrade, A8 2018 (A530), Grade C,3.0
Smartgrade, A8 2018 (A530), Grade D,1.4
Smartgrade, A8 2018 (A530), Grade E,0
Smartgrade, A8 2018 (A530), Grade F,0
Smartgrade, A8 2018 (A530), Grade G,2.5
Smartgrade, A8 2018 (A530), Fully Broken,0
Smartgrade, A5 2017 (A520), Grade A,11.8
Smartgrade, A5 2017 (A520), Grade B,9.1
Smartgrade, A5 2017 (A520), Grade C,3.8
Smartgrade, A5 2017 (A520), Grade D,2.5
Smartgrade, A5 2017 (A520), Grade E,0
Smartgrade, A5 2017 (A520), Grade F,0
Smartgrade, A5 2017 (A520), Grade G,2.5
Smartgrade, A5 2017 (A520), Fully Broken,0
Smartgrade, A52S 5G (A528), Grade A,24.9
Smartgrade, A52S 5G (A528), Grade B,23.2
Smartgrade, A52S 5G (A528), Grade C,14.4
Smartgrade, A52S 5G (A528), Grade D,9.4
Smartgrade, A52S 5G (A528), Grade E,0
Smartgrade, A52S 5G (A528), Grade F,0
Smartgrade, A52S 5G (A528), Grade G,2.5
Smartgrade, A52S 5G (A528), Fully Broken,0
Smartgrade, A33 5G (A336), Grade A,20.0
Smartgrade, A33 5G (A336), Grade B,17.9
Smartgrade, A33 5G (A336), Grade C,11.9
Smartgrade, A33 5G (A336), Grade D,9.4
Smartgrade, A33 5G (A336), Grade E,0
Smartgrade, A33 5G (A336), Grade F,0
Smartgrade, A33 5G (A336), Grade G,2.5
Smartgrade, A33 5G (A336), Fully Broken,0
Smartgrade, A53 5G (A536), Grade A,16.7
Smartgrade, A53 5G (A536), Grade B,12.3
Smartgrade, A53 5G (A536), Grade C,6.1
Smartgrade, A53 5G (A536), Grade D,4.4
Smartgrade, A53 5G (A536), Grade E,0
Smartgrade, A53 5G (A536), Grade F,0
Smartgrade, A53 5G (A536), Grade G,2.5
Smartgrade, A53 5G (A536), Fully Broken,0
Smartgrade, A52 5G (A526), Grade A,25.6
Smartgrade, A52 5G (A526), Grade B,24.0
Smartgrade, A52 5G (A526), Grade C,16.0
Smartgrade, A52 5G (A526), Grade D,11.9
Smartgrade, A52 5G (A526), Grade E,0
Smartgrade, A52 5G (A526), Grade F,0
Smartgrade, A52 5G (A526), Grade G,2.5
Smartgrade, A52 5G (A526), Fully Broken,0
Smartgrade, A52 (A525), Grade A,24.3
Smartgrade, A52 (A525), Grade B,22.3
Smartgrade, A52 (A525), Grade C,13.3
Smartgrade, A52 (A525), Grade D,8.7
Smartgrade, A52 (A525), Grade E,0
Smartgrade, A52 (A525), Grade F,0
Smartgrade, A52 (A525), Grade G,2.5
Smartgrade, A52 (A525), Fully Broken,0
Smartgrade, A51 (A515), Grade A,16.8
Smartgrade, A51 (A515), Grade B,13.8
Smartgrade, A51 (A515), Grade C,8.0
Smartgrade, A51 (A515), Grade D,4.5
Smartgrade, A51 (A515), Grade E,0
Smartgrade, A51 (A515), Grade F,0
Smartgrade, A51 (A515), Grade G,2.5
Smartgrade, A51 (A515), Fully Broken,0
Smartgrade, A5 2016 (A510), Grade A,9.9
Smartgrade, A5 2016 (A510), Grade B,7.8
Smartgrade, A5 2016 (A510), Grade C,4.5
Smartgrade, A5 2016 (A510), Grade D,3.3
Smartgrade, A5 2016 (A510), Grade E,0
Smartgrade, A5 2016 (A510), Grade F,0
Smartgrade, A5 2016 (A510), Grade G,2.5
Smartgrade, A5 2016 (A510), Fully Broken,0
Smartgrade, A5 (A500), Grade A,3.9
Smartgrade, A5 (A500), Grade B,2.7
Smartgrade, A5 (A500), Grade C,0.8
Smartgrade, A5 (A500), Grade D,0.2
Smartgrade, A5 (A500), Grade E,0
Smartgrade, A5 (A500), Grade F,0
Smartgrade, A5 (A500), Grade G,1.3
Smartgrade, A5 (A500), Fully Broken,0
Smartgrade, A51 5G (A516), Grade A,15.8
Smartgrade, A51 5G (A516), Grade B,13.4
Smartgrade, A51 5G (A516), Grade C,8.3
Smartgrade, A51 5G (A516), Grade D,5.1
Smartgrade, A51 5G (A516), Grade E,0
Smartgrade, A51 5G (A516), Grade F,0
Smartgrade, A51 5G (A516), Grade G,2.5
Smartgrade, A51 5G (A516), Fully Broken,0
Smartgrade, A50S (A507), Grade A,13.5
Smartgrade, A50S (A507), Grade B,10.8
Smartgrade, A50S (A507), Grade C,5.3
Smartgrade, A50S (A507), Grade D,2.8
Smartgrade, A50S (A507), Grade E,0
Smartgrade, A50S (A507), Grade F,0
Smartgrade, A50S (A507), Grade G,2.5
Smartgrade, A50S (A507), Fully Broken,0
Smartgrade, A50 (A505), Grade A,14.9
Smartgrade, A50 (A505), Grade B,11.4
Smartgrade, A50 (A505), Grade C,7.3
Smartgrade, A50 (A505), Grade D,5.5
Smartgrade, A50 (A505), Grade E,0
Smartgrade, A50 (A505), Grade F,0
Smartgrade, A50 (A505), Grade G,2.5
Smartgrade, A50 (A505), Fully Broken,0
Smartgrade, A41 (A415), Grade A,9.8
Smartgrade, A41 (A415), Grade B,6.7
Smartgrade, A41 (A415), Grade C,3.3
Smartgrade, A41 (A415), Grade D,1.6
Smartgrade, A41 (A415), Grade E,0
Smartgrade, A41 (A415), Grade F,0
Smartgrade, A41 (A415), Grade G,2.5
Smartgrade, A41 (A415), Fully Broken,0
Smartgrade, A42 5G (A426), Grade A,14.0
Smartgrade, A42 5G (A426), Grade B,11.4
Smartgrade, A42 5G (A426), Grade C,6.7
Smartgrade, A42 5G (A426), Grade D,3.5
Smartgrade, A42 5G (A426), Grade E,0
Smartgrade, A42 5G (A426), Grade F,0
